trial,seed,total_reward,start_position,final_position,max_position,goal_progress,progress_bonus,goal_bonus,fitness,reached_goal,steps_to_goal
1,2042,-156.0,-0.49330639839172363,0.5075375437736511,0.5075375437736511,1.0,500.0,200.0,544.0,True,156
2,2043,-149.0,-0.43230852484703064,0.5062854290008545,0.5062854290008545,1.0,500.0,200.0,551.0,True,149
3,2044,-163.0,-0.5091993808746338,0.5145690441131592,0.5145690441131592,1.0,500.0,200.0,537.0,True,163
4,2045,-183.0,-0.41678428649902344,0.5071981549263,0.5071981549263,1.0,500.0,200.0,517.0,True,183
5,2046,-126.0,-0.5154070258140564,0.5167242288589478,0.5167242288589478,1.0,500.0,200.0,574.0,True,126
6,2047,-158.0,-0.5026295781135559,0.5005468726158142,0.5005468726158142,1.0,500.0,200.0,542.0,True,158
7,2048,-152.0,-0.44431278109550476,0.5071008801460266,0.5071008801460266,1.0,500.0,200.0,548.0,True,152
8,2049,-125.0,-0.5294725298881531,0.512172520160675,0.512172520160675,1.0,500.0,200.0,575.0,True,125
9,2050,-149.0,-0.4306683838367462,0.5028971433639526,0.5028971433639526,1.0,500.0,200.0,551.0,True,149
10,2051,-154.0,-0.4866860508918762,0.5109618306159973,0.5109618306159973,1.0,500.0,200.0,546.0,True,154
11,2052,-127.0,-0.5249348282814026,0.5166535377502441,0.5166535377502441,1.0,500.0,200.0,573.0,True,127
12,2053,-149.0,-0.4469364285469055,0.5035436749458313,0.5035436749458313,1.0,500.0,200.0,551.0,True,149
13,2054,-160.0,-0.49932771921157837,0.5135291218757629,0.5135291218757629,1.0,500.0,200.0,540.0,True,160
14,2055,-152.0,-0.45021727681159973,0.5130452513694763,0.5130452513694763,1.0,500.0,200.0,548.0,True,152
15,2056,-149.0,-0.4309484660625458,0.5034715533256531,0.5034715533256531,1.0,500.0,200.0,551.0,True,149
16,2057,-175.0,-0.4090483486652374,0.5100891590118408,0.5100891590118408,1.0,500.0,200.0,525.0,True,175
17,2058,-151.0,-0.4816491901874542,0.5108682513237,0.5108682513237,1.0,500.0,200.0,549.0,True,151
18,2059,-126.0,-0.5441141724586487,0.5002025365829468,0.5002025365829468,1.0,500.0,200.0,574.0,True,126
19,2060,-171.0,-0.4038144052028656,0.511512279510498,0.511512279510498,1.0,500.0,200.0,529.0,True,171
20,2061,-127.0,-0.5693535208702087,0.5092016458511353,0.5092016458511353,1.0,500.0,200.0,573.0,True,127
