generation,best_fitness,average_fitness,overall_best_fitness,mutation_rate,crossover_rate
1,19.778901337065786,-142.40788600643052,19.778901337065786,0.05,0.85
2,45.22358011479208,-100.12233429734192,45.22358011479208,0.049322033898305084,0.85
3,62.95395823245644,-42.515210489258656,62.95395823245644,0.04864406779661017,0.85
4,106.27433166196414,-12.242017550086889,106.27433166196414,0.047966101694915254,0.85
5,120.98810634714745,0.14324458369542198,120.98810634714745,0.04728813559322034,0.85
6,132.44511050290308,0.6530254738413753,132.44511050290308,0.046610169491525424,0.85
7,151.3416993947446,40.74563633226829,151.3416993947446,0.04593220338983051,0.85
8,159.4219491895968,66.69157268904516,159.4219491895968,0.045254237288135594,0.85
9,159.74814173535586,81.2609044603185,159.74814173535586,0.04457627118644068,0.85
10,173.222818581466,100.9459244788878,173.222818581466,0.043898305084745765,0.85
11,166.36826737499922,100.56805203777185,173.222818581466,0.04322033898305085,0.85
12,173.6392193340479,99.32253699794003,173.6392193340479,0.042542372881355935,0.85
13,183.78349187011395,122.56554703061946,183.78349187011395,0.04186440677966102,0.85
14,184.36241669893153,116.56386765624143,184.36241669893153,0.041186440677966105,0.85
15,188.21468987055664,119.50765076689004,188.21468987055664,0.040508474576271186,0.85
16,191.56254161245488,123.12654120639306,191.56254161245488,0.039830508474576275,0.85
17,204.31323384278429,130.02445648429892,204.31323384278429,0.039152542372881356,0.85
18,206.17305959988266,121.11366749508048,206.17305959988266,0.038474576271186445,0.85
19,209.46302092775682,138.14519403518915,209.46302092775682,0.037796610169491526,0.85
20,211.4667584716507,140.67293924408892,211.4667584716507,0.037118644067796615,0.85
21,220.7051523301528,159.97921509090472,220.7051523301528,0.036440677966101696,0.85
22,253.4915325399949,161.81216473035064,253.4915325399949,0.035762711864406785,0.85
23,263.1713962867595,175.58727424824525,263.1713962867595,0.035084745762711866,0.85
24,281.2488268655788,196.45797734516006,281.2488268655788,0.03440677966101695,0.85
25,421.42273827067726,167.79434449498385,421.42273827067726,0.033728813559322036,0.85
26,562.0,200.32855836256365,562.0,0.033050847457627125,0.85
27,540.6666666666666,248.4257415704732,562.0,0.032372881355932207,0.85
28,546.0,253.91792832333127,562.0,0.03169491525423729,0.85
29,567.6666666666666,307.1139887201807,567.6666666666666,0.031016949152542373,0.85
30,570.0,307.66762985033245,570.0,0.030338983050847458,0.85
31,569.6666666666666,337.78333663841283,570.0,0.029661016949152547,0.85
32,573.0,351.46503007468834,573.0,0.028983050847457628,0.85
33,568.6666666666666,320.3071127549752,573.0,0.028305084745762713,0.85
34,571.6666666666666,363.76286589077847,573.0,0.0276271186440678,0.85
35,569.0,400.95496386146243,573.0,0.026949152542372883,0.85
36,570.6666666666666,360.686333258821,573.0,0.02627118644067797,0.85
37,567.6666666666666,401.6018501262814,573.0,0.02559322033898305,0.85
38,569.0,382.38306147033575,573.0,0.02491525423728814,0.85
39,571.0,396.1044184410119,573.0,0.024237288135593223,0.85
40,567.6666666666666,410.5758863929406,573.0,0.02355932203389831,0.85
41,568.0,398.8779057306308,573.0,0.022881355932203393,0.85
42,567.6666666666666,399.78098352010556,573.0,0.022203389830508475,0.85
43,566.6666666666666,426.47875336849063,573.0,0.021525423728813563,0.85
44,567.3333333333334,416.7539173138642,573.0,0.02084745762711865,0.85
45,566.3333333333334,447.1667295602918,573.0,0.02016949152542373,0.85
46,567.6666666666666,449.9521400829757,573.0,0.01949152542372882,0.85
47,569.3333333333334,434.8668401346282,573.0,0.0188135593220339,0.85
48,568.0,453.5712775158918,573.0,0.01813559322033899,0.85
49,569.3333333333334,424.45611222814716,573.0,0.01745762711864407,0.85
50,570.3333333333334,489.9272748997785,573.0,0.01677966101694915,0.85
51,571.0,454.18565892254327,573.0,0.01610169491525424,0.85
52,568.0,472.4688561559183,573.0,0.015423728813559322,0.85
53,570.6666666666666,432.41464969184733,573.0,0.01474576271186441,0.85
54,567.6666666666666,436.4074263721858,573.0,0.014067796610169492,0.85
55,573.3333333333334,444.9754742257207,573.3333333333334,0.01338983050847458,0.85
56,574.6666666666666,499.57557463031765,574.6666666666666,0.012711864406779662,0.85
57,572.0,485.5021481577186,574.6666666666666,0.012033898305084743,0.85
58,572.0,452.10935074829405,574.6666666666666,0.011355932203389832,0.85
59,574.0,501.52225245573226,574.6666666666666,0.010677966101694913,0.85
60,572.0,523.1799427073536,574.6666666666666,0.010000000000000002,0.85
