generation,training_best_fitness,training_average_fitness,validation_average_reward,validation_average_max_position,validation_average_steps_to_goal,validation_average_goal_progress,validation_average_progress_bonus,validation_average_goal_bonus,validation_average_fitness,validation_success_rate,validation_successful_episodes,validation_episodes,successful_average_steps_to_goal
1,19.778901337065786,-142.40788600643052,-200.0,-0.048175002261996266,200.0,0.45625070379278043,228.12535189639016,0.0,28.125351896390168,0.0,0,10,
2,45.22358011479208,-100.12233429734192,-200.0,-0.04020702466368675,200.0,0.46268914395570765,231.34457197785386,0.0,31.344571977853843,0.0,0,10,
3,62.95395823245644,-42.515210489258656,-200.0,0.03396112397313118,200.0,0.5335610592687071,266.78052963435357,0.0,66.78052963435354,0.0,0,10,
4,106.27433166196414,-12.242017550086889,-200.0,0.02313363328576088,200.0,0.5237501071925686,261.8750535962843,0.0,61.87505359628433,0.0,0,10,
5,120.98810634714745,0.14324458369542198,-200.0,0.03396112397313118,200.0,0.5335610592687071,266.78052963435357,0.0,66.78052963435354,0.0,0,10,
6,132.44511050290308,0.6530254738413753,-200.0,0.12408475631382317,200.0,0.6295512536224404,314.77562681122015,0.0,114.77562681122012,0.0,0,10,
7,151.3416993947446,40.74563633226829,-200.0,0.1806691989302635,200.0,0.68411786420745,342.058932103725,0.0,142.058932103725,0.0,0,10,
8,159.4219491895968,66.69157268904516,-200.0,0.18638906627893448,200.0,0.689866461943657,344.9332309718285,0.0,144.93323097182844,0.0,0,10,
9,159.74814173535586,81.2609044603185,-200.0,0.19473513215780258,200.0,0.6985994032390003,349.2997016195001,0.0,149.2997016195001,0.0,0,10,
10,173.222818581466,100.9459244788878,-200.0,0.19473513215780258,200.0,0.6985994032390003,349.2997016195001,0.0,149.2997016195001,0.0,0,10,
11,166.36826737499922,100.56805203777185,-200.0,0.1823487639427185,200.0,0.6892041538693887,344.60207693469437,0.0,144.60207693469437,0.0,0,10,
12,173.6392193340479,99.32253699794003,-200.0,0.2241371102631092,200.0,0.7281727700670722,364.08638503353603,0.0,164.08638503353603,0.0,0,10,
13,183.78349187011395,122.56554703061946,-200.0,0.23407459110021592,200.0,0.7383860333344636,369.19301666723175,0.0,169.1930166672318,0.0,0,10,
14,184.36241669893153,116.56386765624143,-200.0,0.2455849066376686,200.0,0.7489019154380568,374.4509577190284,0.0,174.4509577190284,0.0,0,10,
15,188.21468987055664,119.50765076689004,-200.0,0.25958484411239624,200.0,0.7623372867704441,381.168643385222,0.0,181.16864338522205,0.0,0,10,
16,191.56254161245488,123.12654120639306,-200.0,0.2709683761000633,200.0,0.7738597188281658,386.9298594140829,0.0,186.92985941408287,0.0,0,10,
17,204.31323384278429,130.02445648429892,-200.0,0.22234741672873498,200.0,0.7274494793072322,363.72473965361615,0.0,163.72473965361613,0.0,0,10,
18,206.17305959988266,121.11366749508048,-200.0,0.30305791199207305,200.0,0.8050575442591528,402.52877212957645,0.0,202.52877212957642,0.0,0,10,
19,209.46302092775682,138.14519403518915,-200.0,0.30305791199207305,200.0,0.8050575442591528,402.52877212957645,0.0,202.52877212957642,0.0,0,10,
20,211.4667584716507,140.67293924408892,-200.0,0.20220443233847618,200.0,0.7093956657591245,354.69783287956227,0.0,154.69783287956224,0.0,0,10,
21,220.7051523301528,159.97921509090472,-200.0,0.34479176104068754,200.0,0.8461996497229334,423.09982486146674,0.0,223.09982486146674,0.0,0,10,
22,253.4915325399949,161.81216473035064,-200.0,0.41065057218074796,200.0,0.9114231041119533,455.7115520559767,0.0,255.7115520559767,0.0,0,10,
23,263.1713962867595,175.58727424824525,-200.0,0.41065057218074796,200.0,0.9114231041119533,455.7115520559767,0.0,255.7115520559767,0.0,0,10,
24,281.2488268655788,196.45797734516006,-200.0,0.36386496126651763,200.0,0.860804673581827,430.4023367909134,0.0,230.40233679091344,0.0,0,10,
25,421.42273827067726,167.79434449498385,-193.3,0.32523663341999054,193.3,0.8320387320268381,416.019366013419,100.0,322.71936601341906,0.5,5,10,186.6
26,562.0,200.32855836256365,-175.6,0.4602549344301224,175.6,0.9577422232644393,478.8711116322196,80.0,383.2711116322196,0.4,4,10,139.0
27,540.6666666666666,248.4257415704732,-173.9,0.4901376783847809,173.9,0.988041528826287,494.0207644131436,140.0,460.12076441314355,0.7,7,10,162.71428571428572
28,546.0,253.91792832333127,-175.5,0.46009930074214933,175.5,0.9571747567560278,478.5873783780138,100.0,403.08737837801385,0.5,5,10,151.0
29,567.6666666666666,307.1139887201807,-152.2,0.49936521947383883,152.2,0.9879218200813249,493.9609100406624,160.0,501.7609100406624,0.8,8,10,140.25
30,570.0,307.66762985033245,-160.1,0.5053470611572266,160.1,1.0,500.0,200.0,539.9,1.0,10,10,160.1
31,569.6666666666666,337.78333663841283,-163.6,0.48241751492023466,163.6,0.975443292717679,487.72164635883956,140.0,464.12164635883954,0.7,7,10,148.0
32,573.0,351.46503007468834,-164.5,0.45387824922800063,164.5,0.9497165727161094,474.85828635805467,160.0,470.35828635805467,0.8,8,10,155.625
33,568.6666666666666,320.3071127549752,-159.7,0.4827061504125595,159.7,0.9791375552125618,489.56877760628083,120.0,449.86877760628084,0.6,6,10,132.83333333333334
34,571.6666666666666,363.76286589077847,-170.1,0.45088049173355105,170.1,0.9474648884427015,473.73244422135076,140.0,443.63244422135074,0.7,7,10,157.28571428571428
35,569.0,400.95496386146243,-155.1,0.5024250954389572,155.1,0.9969044091383064,498.4522045691532,180.0,523.3522045691532,0.9,9,10,150.11111111111111
36,570.6666666666666,360.686333258821,-162.9,0.453826430439949,162.9,0.9492665186688383,474.6332593344191,140.0,451.73325933441913,0.7,7,10,147.0
37,567.6666666666666,401.6018501262814,-160.3,0.49941347241401673,160.3,0.9915730834967903,495.7865417483951,180.0,515.4865417483951,0.9,9,10,155.88888888888889
38,569.0,382.38306147033575,-152.5,0.5052437663078309,152.5,1.0,500.0,200.0,547.5,1.0,10,10,152.5
39,571.0,396.1044184410119,-159.7,0.47352339923381803,159.7,0.9665425312410505,483.27126562052524,120.0,443.57126562052525,0.6,6,10,132.83333333333334
40,567.6666666666666,410.5758863929406,-156.2,0.506352323293686,156.2,1.0,500.0,200.0,543.8,1.0,10,10,156.2
41,568.0,398.8779057306308,-153.0,0.5066267430782319,153.0,1.0,500.0,200.0,547.0,1.0,10,10,153.0
42,567.6666666666666,399.78098352010556,-153.0,0.5066267430782319,153.0,1.0,500.0,200.0,547.0,1.0,10,10,153.0
43,566.6666666666666,426.47875336849063,-157.8,0.4808725774288177,157.8,0.976146002758281,488.07300137914063,180.0,510.2730013791406,0.9,9,10,153.11111111111111
44,567.3333333333334,416.7539173138642,-154.8,0.4902049213647842,154.8,0.9837965915376519,491.89829576882596,180.0,517.0982957688259,0.9,9,10,149.77777777777777
45,566.3333333333334,447.1667295602918,-148.1,0.5063891232013702,148.1,1.0,500.0,200.0,551.9,1.0,10,10,148.1
46,567.6666666666666,449.9521400829757,-153.2,0.48204877972602844,153.2,0.9755961248473402,487.79806242366993,180.0,514.59806242367,0.9,9,10,148.0
47,569.3333333333334,434.8668401346282,-144.7,0.5069226801395417,144.7,1.0,500.0,200.0,555.3,1.0,10,10,144.7
48,568.0,453.5712775158918,-149.9,0.5065517008304596,149.9,1.0,500.0,200.0,550.1,1.0,10,10,149.9
49,569.3333333333334,424.45611222814716,-144.5,0.5055924355983734,144.5,1.0,500.0,200.0,555.5,1.0,10,10,144.5
50,570.3333333333334,489.9272748997785,-142.8,0.5034711182117462,142.8,1.0,500.0,200.0,557.2,1.0,10,10,142.8
51,571.0,454.18565892254327,-141.7,0.5058123946189881,141.7,1.0,500.0,200.0,558.3,1.0,10,10,141.7
52,568.0,472.4688561559183,-146.0,0.5064408659934998,146.0,1.0,500.0,200.0,554.0,1.0,10,10,146.0
53,570.6666666666666,432.41464969184733,-142.2,0.506653505563736,142.2,1.0,500.0,200.0,557.8,1.0,10,10,142.2
54,567.6666666666666,436.4074263721858,-146.0,0.5064408659934998,146.0,1.0,500.0,200.0,554.0,1.0,10,10,146.0
55,573.3333333333334,444.9754742257207,-139.8,0.5076919794082642,139.8,1.0,500.0,200.0,560.2,1.0,10,10,139.8
56,574.6666666666666,499.57557463031765,-140.0,0.5070492267608643,140.0,1.0,500.0,200.0,560.0,1.0,10,10,140.0
57,572.0,485.5021481577186,-157.2,0.5022158682346344,157.2,0.999851956022118,499.92597801105893,180.0,522.7259780110589,0.9,9,10,152.44444444444446
58,572.0,452.10935074829405,-146.2,0.5054660379886627,146.2,1.0,500.0,200.0,553.8,1.0,10,10,146.2
59,574.0,501.52225245573226,-139.8,0.5076919794082642,139.8,1.0,500.0,200.0,560.2,1.0,10,10,139.8
60,572.0,523.1799427073536,-141.2,0.5071404159069062,141.2,1.0,500.0,200.0,558.8,1.0,10,10,141.2
